COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Travel - US$ Mn,,IMF,255,281,290,291,343,402,430,447,406,462,486,490,623,742,670,781,843,"1,033","1,246","1,482","1,551","1,444","1,657",
Passenger transport - US$ Mn,,IMF,60,49,45,39,34,49,8,2,2,2,2,2,3,3,4,5,6,6,5,5,6,6,6,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,271,275,321,330,386,520,562,627,613,603,664,733,801,815,814,899,"1,022","1,022","1,138","1,278","1,398","1,551","1,547",
Tourism expenditure in other countries - US$ Mn,,IMF,331,313,331,325,385,416,465,507,500,577,644,706,733,790,806,863,917,944,989,990,994,"1,034","1,087",
Travel - US$ Mn,,IMF,235,219,227,241,271,299,340,364,354,391,429,466,504,542,549,568,594,611,623,635,639,661,688,
Passenger transport - US$ Mn,,IMF,96,94,104,84,114,117,125,143,146,186,215,240,229,248,257,295,323,333,366,355,355,373,399,
EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"2,871","3,528","3,656","3,213","4,490","5,116","4,357","4,906","5,746","7,795","8,244","8,646","10,610","12,296","11,914","14,051","9,497","11,196","9,174","9,628","9,139","5,258","8,157",
Tourism expenditure in the country - US$ Mn,,IMF,"2,954","3,583","4,046","2,942","4,361","4,657","4,119","4,133","4,704","6,328","7,206","8,133","10,327","12,104","11,757","13,633","9,333","10,823","6,747","7,979","6,897","3,306","8,636",
Travel - US$ Mn,,IMF,"2,684","3,204","3,727","2,565","3,903","4,345","3,800","3,764","4,584","6,125","6,851","7,591","9,303","10,985","10,755","12,528","8,707","9,940","6,047","7,208","6,065","2,645","7,775",
Passenger transport - US$ Mn,,IMF,270,379,319,377,458,312,319,369,120,203,355,542,"1,024","1,119","1,002","1,105",626,883,700,771,832,661,861,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,716","4,618","4,863","5,678","5,782","6,180",..,..,..,
Departures - Thousands,,TF,"2,683","2,812","2,722","2,854","2,886","2,964","3,074","3,330","3,644","5,210","5,307","4,531",..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,"1,371","1,382","1,431","1,271","1,218","1,206","1,248","1,309","1,465","1,543","1,932","2,156","2,886","3,390","2,941","2,696","2,575","3,037","3,261","3,486","3,636","4,351","2,419",
Travel - US$ Mn,,IMF,"1,278","1,317","1,347","1,153","1,078","1,072","1,132","1,266","1,321","1,257","1,629","1,784","2,446","2,915","2,538","2,240","2,203","2,618","3,014","3,140","3,442","4,110","2,160",
Passenger transport - US$ Mn,,IMF,93,65,84,118,140,134,116,43,144,286,303,372,440,475,403,456,372,419,247,346,194,241,259,
EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,235,283,387,542,658,795,735,798,720,951,"1,127","1,279","1,339","1,385","1,091","1,150","1,184","1,255","1,283","1,345","1,402","1,434","1,556",
Tourism expenditure in the country - US$ Mn,,IMF,152,155,..,..,408,437,452,521,664,748,656,686,793,711,549,646,729,900,"1,054","1,285","1,203","1,161","1,227",
Travel - US$ Mn,,IMF,85,86,149,206,222,217,201,245,382,453,361,382,482,425,319,390,415,558,621,821,817,829,873,
Passenger transport - US$ Mn,,IMF,67,69,..,..,186,220,251,276,282,295,295,304,311,286,230,256,314,342,433,464,386,332,354,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,348,492,627,868,787,923,933,"1,001",940,"1,079","1,239","1,242","1,012",..,"1,345","1,421","1,469","1,462","1,515","1,515","1,618","1,804","1,871",
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,999,"1,160","1,163","1,166","1,163","1,250","1,411","1,394",
Tourism expenditure in other countries - US$ Mn,,IMF,99,102,..,..,205,219,247,266,311,373,288,307,363,326,253,280,244,287,270,277,332,451,466,
Travel - US$ Mn,,IMF,72,73,153,179,169,165,195,191,229,292,206,224,278,241,187,219,203,261,242,248,294,412,418,
Passenger transport - US$ Mn,,IMF,27,29,..,..,36,54,52,75,82,81,82,83,85,85,66,61,41,26,28,29,38,39,48,
EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des Etats de l'Afrique Centrale (B.E.A.C.)"". "
Tourism expenditure in the country - US$ Mn,1/,CB,1,4,5,0.4,10,5,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,1/,CB,7,13,7,7,8,19,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,VF,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,"1/ Including nationals residing abroad.
2/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
Tourism expenditure in the country - US$ Mn,2/,country,58,69,90,34,28,36,74,73,74,73,66,60,61,46,26,..,..,..,..,..,..,48,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/ 2/ 3/,TF,530,665,730,825,950,"1,220","1,320","1,362","1,462","1,750","1,917","1,940","1,900","2,222","2,180","2,511","2,823","2,957","3,111","3,160","2,961","3,131","3,245","1/ Starting from 2004, border statistics are not collected any more.
2/ 2004-2007: calculated on the basis of accommodation statistics and “Foreign Visitor Survey” carried out by the Statistical Office of Estonia.
3/ From 2008 based on mobile positioning data by the Bank of Estonia and Positium LBS.
4/ From 2006: source: household survey by ""Statistics Estonia"""
Tourism expenditure in the country - US$ Mn,,IMF,452,565,597,668,702,657,661,737,883,"1,111","1,229","1,361","1,416","1,643",..,..,..,..,"2,022","2,278","1,885","1,942","2,144",
Travel - US$ Mn,,IMF,357,484,473,539,549,508,507,555,671,887,971,"1,024","1,036","1,193","1,090","1,065","1,256","1,286","1,626","1,864","1,493","1,538","1,636",
Passenger transport - US$ Mn,,IMF,95,81,124,129,153,149,154,182,212,224,258,337,380,450,..,..,..,..,396,414,392,404,508,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,1/ 4/,TF,"1,764","1,547","1,616","1,659","1,780","1,800","1,658","1,849","2,075",..,..,438,677,692,752,955,"1,054","1,147","1,166","1,426","1,250","1,339","1,279",
Tourism expenditure in other countries - US$ Mn,,IMF,121,141,162,197,255,253,253,305,404,486,530,706,804,939,..,..,..,..,"1,236","1,345","1,169","1,299","1,398",
Travel - US$ Mn,,IMF,91,101,120,155,215,204,192,231,319,399,439,586,670,809,605,633,806,796,"1,059","1,180","1,026","1,163","1,251",
Passenger transport - US$ Mn,,IMF,30,40,42,42,40,49,61,74,85,87,91,120,134,130,..,..,..,..,177,165,143,136,147,
ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,300,315,269,284,289,281,283,256,461,459,837,873,869,756,908,868,879,888,968,939,873,947,921,1/ 1995-2002: arrivals in hotels only.
Tourism expenditure in the country - US$ Mn,,IMF,54,42,44,51,15,24,23,45,70,75,77,75,32,26,40,51,10,29,4,16,14,13,13,
Travel - US$ Mn,,IMF,48,38,40,47,12,21,21,43,70,75,77,75,32,26,40,51,10,29,4,15,14,13,13,
Passenger transport - US$ Mn,,IMF,6,4,4,4,3,3,2,2,0.04,0.1,0.3,0.1,0.2,0.3,0.1,0.4,0.1,0.1,0.2,0.6,0.2,0.2,0.2,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,"1,082","1,072","1,130","1,177","1,245","1,141","1,264","1,403","1,573","1,657","1,713","1,789","1,751",
Tourism expenditure in other countries - US$ Mn,,IMF,45,44,40,60,35,32,31,..,23,54,60,54,63,59,98,87,35,53,48,62,64,33,74,
Travel - US$ Mn,,IMF,43,42,38,58,34,31,30,26,22,48,49,49,51,46,72,61,30,44,38,54,50,30,65,
Passenger transport - US$ Mn,,IMF,2,2,2,2,1,1,1,..,1,6,11,5,12,13,26,26,5,9,10,8,14,3,9,
ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,103,109,139,112,115,136,148,156,180,184,227,330,358,383,427,468,523,597,681,770,864,871,933,"1/ 1995,1996: arrivals to Bole airport only.
From 1997 arrivals through all ports of entry; including nationals residing abroad."
Tourism expenditure in the country - US$ Mn,,IMF,177,170,157,152,176,205,218,261,336,458,533,639,790,"1,184","1,119","1,434","1,998","1,980","2,236","2,107","2,279","2,138","2,503",
Travel - US$ Mn,,IMF,16,23,22,37,47,57,51,72,114,174,168,162,176,377,329,522,758,607,586,352,405,347,434,
Passenger transport - US$ Mn,,IMF,161,147,135,115,129,148,167,189,222,284,365,477,614,807,790,912,"1,240","1,373","1,650","1,755","1,874","1,791","2,069",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,120,133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,30,30,48,51,57,80,50,55,63,59,..,..,..,..,139,..,..,..,..,..,..,..,364,
Travel - US$ Mn,,IMF,25,25,40,46,51,74,44,45,50,58,77,97,107,156,138,143,170,181,214,283,372,461,356,
Passenger transport - US$ Mn,,IMF,5,5,8,5,6,6,6,10,13,1,..,..,..,..,1,..,..,..,..,..,..,..,8,
FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,318,340,359,371,410,294,348,398,431,504,545,549,540,585,542,632,675,661,659,693,755,792,843,1/ Excluding nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,369,374,386,309,365,291,316,384,496,588,722,684,722,952,688,825,955,989,966,"1,034","1,038","1,049","1,188",
Travel - US$ Mn,,IMF,291,298,317,248,280,189,205,260,345,423,485,480,499,658,503,635,724,730,717,752,761,778,886,
Passenger transport - US$ Mn,,IMF,78,76,69,61,85,102,111,124,151,165,237,204,223,294,185,190,231,259,249,282,277,271,302,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,68,72,74,78,89,83,85,99,104,94,109,121,120,124,125,128,132,132,..,..,..,156,169,
Tourism expenditure in other countries - US$ Mn,,IMF,82,88,87,67,82,96,84,79,88,118,132,113,106,111,107,102,116,110,105,99,115,119,138,
Travel - US$ Mn,,IMF,64,70,69,52,66,83,65,55,70,94,106,101,92,96,94,88,98,91,91,89,104,109,128,
Passenger transport - US$ Mn,,IMF,18,18,18,15,16,13,19,24,18,24,26,12,14,15,13,14,18,19,14,10,11,10,10,
FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,"2,644","2,454","2,714","2,826","2,875","2,601","2,840","3,140","3,375","3,519","3,583","3,423","3,670","4,192","4,226",..,..,..,..,..,"1/ Border Interview survey. Note: the survey was cancelled at the end of 2012.
2/ Due to a change in the methodology, data for 2004 are not comparable to previous years.
3/ Overnight trips abroad, including cruises abroad with overnight on board only."
Arrivals - Thousands,2/,TCE,"1,779","1,724","1,832","1,867","1,831","1,971","1,999","2,043","2,047","2,083","2,080","2,317","2,472","2,494","2,220","2,319","2,623","2,778","2,797","2,731","2,622","2,789","3,180",
Tourism expenditure in the country - US$ Mn,,IMF,"2,383","2,408","2,358","2,371","2,236","2,035","2,065","2,235","2,676","2,975","3,069","3,515","4,287","4,874","4,070","4,497","5,612","5,419","5,774","5,407","4,009","4,099","5,204",
Travel - US$ Mn,,IMF,"1,640","1,636","1,639","1,630","1,521","1,406","1,437","1,577","1,869","2,067","2,180","2,380","2,837","3,233","2,743","3,027","3,844","3,878","4,041","3,656","2,573","2,731","3,395",
Passenger transport - US$ Mn,,IMF,743,772,719,741,715,629,628,658,807,908,889,"1,135","1,450","1,641","1,327","1,470","1,768","1,541","1,733","1,751","1,436","1,368","1,809",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,3/,TF,"5,147","4,918","5,233","4,743","5,314","5,914","5,824","5,857","5,585","5,798","5,902","5,756","5,749","5,854","5,832","6,633","7,274","9,055","8,562","8,731","8,904","9,125","9,330",
Tourism expenditure in other countries - US$ Mn,,IMF,"2,853","2,760","2,541","2,565","2,525","2,293","2,442","2,438","2,954","3,383","3,622","4,099","4,812","5,577","5,233","5,269","6,010","5,843","6,387","6,324","5,785","6,176","6,675",
Travel - US$ Mn,,IMF,"2,278","2,285","2,080","2,062","2,035","1,852","1,852","2,006","2,433","2,821","3,057","3,424","3,983","4,544","4,401","4,306","4,879","4,889","5,297","5,303","4,795","5,190","5,604",
Passenger transport - US$ Mn,,IMF,575,475,461,503,490,441,590,432,521,562,565,675,829,"1,033",832,963,"1,131",954,"1,090","1,021",990,986,"1,071",
FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"60,033","62,406","66,591","70,109","73,147","77,190","75,202","77,012","75,048","74,433","74,988","77,916","80,853","79,218","76,764","76,647","80,499","81,980","83,634","83,701","84,452","82,682","86,861","1/ 1985-2003: estimates based on surveys at national borders.
From 2004 non-resident visitor survey (EVE). Results 2016 provisional.
2/ 1999-2004: Source: ""Banque de France"".
3/ Break in the series between 2004 and 2005.
4/ Source: DGE. Survey Follow-up of tourism demand (SDT). Resident population aged 15 years and above; trips in Overseas Departments are counted together with those abroad."
Tourism expenditure in the country - US$ Mn,,IMF,"31,295","32,088",..,..,"37,770","38,534","38,385","40,537","45,990","52,108","52,139","54,587","63,902","68,001","58,858","56,187","66,087","64,000","66,060","67,382","66,419","62,965","69,894",
Travel - US$ Mn,,IMF,"27,587","28,352","27,402","29,490","31,239","32,855","32,181","35,011","39,389","44,895","43,947","46,502","54,210","57,229","49,576","46,466","55,115","53,348","56,457","58,404","58,307","54,690","61,020",
Passenger transport - US$ Mn,2/,IMF,"3,708","3,736",..,..,"6,531","5,679","6,204","5,526","6,601","7,213","8,192","8,085","9,692","10,772","9,282","9,721","10,972","10,652","9,603","8,978","8,112","8,275","8,874",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,3/4/,TF,"18,686","18,151","17,115","18,077","16,709","19,886","19,265","18,315","18,576","21,131","22,480","22,240","28,103","25,506","25,140","25,041","26,155","25,317","26,062","27,919","26,648","26,483","29,055",
Tourism expenditure in other countries - US$ Mn,,IMF,"20,699","22,049",..,..,"22,795","26,703","26,749","27,808","32,618","36,029","38,643","39,301","46,051","50,361","45,050","46,704","55,472","50,087","52,448","58,446","47,697","48,760","50,329",
Travel - US$ Mn,,IMF,"16,358","17,748","17,490","18,819","18,501","22,533","22,616","23,769","28,059","30,018","31,354","32,332","37,905","40,917","36,961","38,304","44,695","39,851","42,186","48,762","39,508","40,323","41,600",
Passenger transport - US$ Mn,2/,IMF,"4,341","4,301",..,..,"4,294","4,170","4,133","4,039","4,559","6,011","7,289","6,969","8,146","9,444","8,089","8,400","10,777","10,236","10,262","9,684","8,189","8,437","8,729",
FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,68,70,..,65,65,..,..,95,..,109,..,83,189,192,187,180,185,199,223,224,"1/ Survey at Cayenne-Rochambeau airport on departure.
2/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
Tourism expenditure in the country - US$ Mn,2/,country,..,..,..,51,50,..,42,45,..,..,44,..,49,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,172,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,"1/ Arrivals by air only. Excluding nationals residing abroad.
2000: the figure of 252,200 was estimated by the “Institut de la Statistique (ISPF)"".
2/ 1995-1999: country data."
Tourism expenditure in the country - US$ Mn,2/,IMF,326,322,345,354,394,..,..,471,651,737,759,..,..,737,618,630,725,720,746,835,758,782,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,372,480,523,530,463,537,522,440,405,457,435,458,510,466,488,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,99,171,214,229,..,..,215,178,225,268,285,288,325,292,294,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,63,65,..,..,..,..,..,..,..,..,..,..,..,..,88,89,84,83,..,48,55,48,55,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,264,335,425,430,..,..,388,339,335,327,300,293,312,277,226,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,180,236,311,312,122,153,159,164,160,168,158,156,169,146,152,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,84,99,114,118,..,..,229,175,175,159,142,137,143,131,74,..,
GABON,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,125,145,167,195,178,155,169,208,222,244,269,..,..,..,..,..,..,..,..,..,..,..,..,1/ Arrivals of non-resident tourists at Libreville airport.
Tourism expenditure in the country - US$ Mn,,IMF,94,91,103,110,143,99,46,77,84,74,13,..,26,27,26,89,25,40,..,..,..,..,..,
Travel - US$ Mn,,IMF,17,10,19,23,15,20,15,18,15,10,9,..,25,26,26,86,20,34,..,..,..,..,..,
Passenger transport - US$ Mn,,IMF,77,81,84,87,128,79,31,59,69,64,4,..,1,0.5,0.2,3,5.4,5.5,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,203,187,168,189,219,236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,182,168,156,158,195,183,256,234,239,275,346,..,328,490,476,560,658,441,..,..,..,..,..,
Travel - US$ Mn,,IMF,137,100,86,84,91,84,225,194,194,214,274,..,229,381,360,376,543,314,..,..,..,..,..,
Passenger transport - US$ Mn,,IMF,45,68,70,74,104,99,31,40,45,61,72,..,99,109,116,184,115,127,..,..,..,..,..,
GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,45,77,85,91,96,79,57,81,89,90,108,125,143,147,142,91,106,157,171,156,135,161,162,1/ Charter tourists only. Including nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,..,67,76,..,..,..,..,..,58,51,59,69,87,80,64,80,86,104,78,110,121,120,116,
Travel - US$ Mn,,IMF,28,66,75,..,..,..,..,..,56,47,58,66,85,80,63,74,78,94,71,105,113,116,103,
Passenger transport - US$ Mn,,IMF,..,1,1,..,..,..,..,..,2,4,1,3,2,0.2,1,6,8,10,7,5,8,4,13,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,387,307,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,16,16,17,..,..,..,..,..,8,6,7,8,..,..,..,..,..,..,10,55,57,76,46,
Travel - US$ Mn,,IMF,14,15,16,..,..,..,..,..,4,4,5,6,13,12,12,14,16,13,10,54,56,75,44,
Passenger transport - US$ Mn,,IMF,2,1,1,..,..,..,..,..,4,2,2,2,..,..,..,..,..,..,0.4,1,1,1,2,
GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,85,117,313,317,384,387,302,298,313,368,560,983,"1,052","1,290","1,500","2,032","2,712","4,106","4,954","5,004","5,256","5,393","6,483",
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,067","1,833","2,460","2,884","2,939","3,012","3,297","4,069",
Tourism expenditure in the country - US$ Mn,,IMF,..,..,75,229,131,107,136,144,172,209,287,361,440,505,537,737,"1,069","1,565","1,916","1,972","2,049","2,315","2,971",
Travel - US$ Mn,,IMF,..,..,47,188,118,97,117,126,147,177,241,313,384,447,476,659,955,"1,411","1,720","1,787","1,868","2,111","2,704",
Passenger transport - US$ Mn,,IMF,..,..,28,41,13,10,19,18,25,32,46,48,56,58,61,78,114,154,196,185,181,204,267,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,228,219,355,433,373,315,306,317,..,466,857,"1,346","1,473","1,872","1,980","2,086","2,237","2,734","3,220","3,106","3,136","3,400","3,851",
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,171,239,135,129,136,189,170,196,237,257,277,337,311,329,384,471,537,563,609,706,853,
Travel - US$ Mn,,IMF,..,..,156,226,130,110,107,149,130,147,169,167,176,203,181,199,213,256,294,299,330,386,464,
Passenger transport - US$ Mn,,IMF,..,..,15,13,5,19,29,40,40,49,68,90,101,134,130,130,171,215,243,264,279,320,389,
GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TCE,"14,847","15,205","15,837","16,511","17,116","18,983","17,861","17,969","18,399","20,137","21,500","23,569","24,421","24,884","24,220","26,875","28,374","30,411","31,545","32,999","34,970","35,555","37,452",
Tourism expenditure in the country - US$ Mn,,IMF,"24,052","23,982","24,501","25,806","25,327","24,943","24,175","26,690","30,104","36,390","40,531","45,538","49,332","53,397","47,462","49,126","53,431","51,645","55,486","58,701","50,652","52,175","56,173",
Travel - US$ Mn,,IMF,"18,036","17,616","17,702","18,365","18,231","18,611","18,031","19,278","23,125","27,613","29,122","32,888","36,102","39,915","34,724","34,564","38,903","38,068","41,285","43,263","36,883","37,469","39,953",
Passenger transport - US$ Mn,,IMF,"6,016","6,366","6,799","7,441","7,096","6,332","6,144","7,412","6,979","8,777","11,409","12,650","13,230","13,482","12,738","14,562","14,528","13,577","14,201","15,438","13,769","14,706","16,220",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,"55,800","69,200","78,100","80,507","81,551","80,393","85,345","84,859","86,622","81,801","82,099","86,201","85,547","85,872","84,692","82,729","87,459","83,008","83,737","90,966","92,402",
Tourism expenditure in other countries - US$ Mn,,IMF,"66,527","64,726","59,000","60,253","61,218","57,601","56,529","59,496","73,203","80,624","84,539","85,678","96,192","105,647","92,829","90,882","99,839","96,233","102,677","101,702","85,308","87,395","97,597",
Travel - US$ Mn,,IMF,"60,260","59,076","53,667","54,423","55,879","52,824","51,917","53,006","65,234","71,187","74,190","74,120","83,156","91,598","81,401","77,580","86,166","83,235","91,320","93,252","77,445","79,906","89,677",
Passenger transport - US$ Mn,,IMF,"6,267","5,650","5,333","5,830","5,339","4,777","4,612","6,490","7,969","9,437","10,349","11,558","13,036","14,049","11,428","13,302","13,673","12,998","11,357","8,450","7,863","7,489","7,920",
GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,286,305,325,348,373,399,439,483,531,584,429,497,587,698,803,931,821,903,994,825,897,..,..,1/ Including nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,30,32,35,304,325,357,374,383,441,495,867,910,990,970,849,706,797,"1,154","1,010","1,027",911,952,919,
Travel - US$ Mn,,IMF,11,13,15,284,304,335,351,358,414,466,836,861,908,919,768,620,694,914,853,897,819,846,850,
Passenger transport - US$ Mn,,IMF,19,19,20,20,21,22,23,25,27,29,31,49,82,51,81,86,103,240,157,130,92,106,69,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,74,59,61,145,151,162,165,184,216,270,472,575,816,870,948,882,"1,026",976,982,947,"1,405","1,571","1,581",
Travel - US$ Mn,,IMF,21,4,4,85,91,100,105,119,138,186,303,345,558,542,684,574,464,464,473,458,737,792,693,
