COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Arrivals - Thousands,1/,TF,..,..,..,..,"2,347","2,949","3,516","3,387","3,138","2,791","2,418","2,227","2,189","2,059","1,830","1,808","2,242","2,238","2,328","2,363","2,663","2,819","3,003","1/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years."
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261,1/ 1995-2001: country data.
Tourism expenditure in the country - US$ Mn,,IMF,27,38,24,39,31,34,35,51,63,82,103,91,236,293,554,726,653,711,"1,241","1,597","1,171",628,884,
Travel - US$ Mn,1/,IMF,10,9,9,8,13,18,22,37,49,66,88,75,225,285,534,719,646,706,"1,234","1,589","1,163",623,880,
Passenger transport - US$ Mn,,IMF,17,29,15,31,18,16,13,14,14,16,15,16,11,8,20,7,7,5,7,8,8,5,4,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,113,110,125,96,142,146,80,52,49,86,135,393,473,447,270,275,323,288,316,505,389,823,"1,216",
Travel - US$ Mn,,IMF,75,73,98,75,127,136,66,19,12,39,74,148,212,254,133,148,180,159,166,113,146,594,977,
Passenger transport - US$ Mn,,IMF,38,37,27,21,15,10,14,33,37,47,61,245,261,193,137,127,143,129,150,392,243,229,239,
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,39,37,43,44,47,44,48,44,47,54,62,73,78,68,58,62,66,65,69,71,73,79,68,1/ Excluding nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,143,142,143,149,
Travel - US$ Mn,,IMF,50,51,60,62,58,56,62,57,64,69,86,107,115,109,94,99,112,113,122,136,134,136,142,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,8,7,7,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
